feature,F,p,q,eta2
H2A.Z_TTS_bin11,101.8852223103504,1.1415960850438365e-23,4.9646155326324985e-23,0.025307532799427677
H2A.Zac_TTS_bin09,101.48132853018359,1.3925992538875044e-23,5.918546829021893e-23,0.025209737730229952
H3K36me3_TTS_bin15,96.27898293071705,1.805763187468825e-22,7.503949245703784e-22,0.02394833376974531
H3R17me2_TTS_bin06,90.73026382606817,2.7914816733048052e-21,1.1347979845826055e-20,0.022599342387600786
H3K18me_TTS_bin13,89.98595346401925,4.0321127461627805e-21,1.604266135175404e-20,0.02241810372713499
MNase_TTS_bin15,86.65906175969344,2.0887201705175808e-20,8.137305664308075e-20,0.021607187353808975
H3K36me3_TTS_bin07,84.79588409763132,5.2520489174321137e-20,2.0043533623669496e-19,0.02115245738352643
H3K4me3_TTS_bin09,83.13093836584494,1.1978767928720176e-19,4.480059205341346e-19,0.020745750424553556
H2A.Z_TTS_bin12,78.00374606532276,1.5226161543450553e-18,5.5829258992652036e-18,0.019491172676191073
H3K4me_TTS_bin13,75.01474825512548,6.719604306548513e-18,2.4164730871626385e-17,0.01875830747757466
H3K4me3_TTS_bin10,73.68242908073205,1.303149548407096e-17,4.5979050104174896e-17,0.018431286223422036
H3K18ac_TTS_bin06,72.78547125653313,2.035825406368694e-17,7.049987981313811e-17,0.0182110027620898
H3K4me1_TTS_bin07,68.97823130640164,1.3550480077694137e-16,4.607163226416006e-16,0.017274882884556496
H3K4me2_TTS_bin15,68.79329950053442,1.4858549186673322e-16,4.961694103406985e-16,0.017229366596347443
H3K4me_TTS_bin08,67.46155668863506,2.885903335375663e-16,9.467788135355245e-16,0.016901467227108148
H2A.Z_TTS_bin13,63.07047209616217,2.583170041256639e-15,8.32849651232744e-15,0.01581875026728672
H3K18me_TTS_bin08,62.7199587509523,3.077659918762185e-15,9.754617030653027e-15,0.015732220823105564
H3_TTS_bin11,61.1086111047303,6.8877890327699904e-15,2.146694248546647e-14,0.015334239808282185
ATAC_TTS_bin08,56.71634940135359,6.211394509034866e-14,1.9041488085074095e-13,0.014247774627268521
H3K4me2_TTS_bin14,55.933515997591876,9.197089343091025e-14,2.773960817996809e-13,0.014053881998974001
H3_TTS_bin10,54.7072985655502,1.7013941664972422e-13,5.005963927492009e-13,0.01375001840051765
H3K9ac_TTS_bin12,54.69343652513387,1.7132710767887089e-13,5.005963927492009e-13,0.013746582238037769
